naicscode,naicsdescription,count
922160.0,Fire Protection,17
921190.0,Other General Government Support,5
922130.0,Legal Counsel and Prosecution,3
926130.0,"Regulation and Administration of Communications, Electric, Gas, and Ot",3
921110.0,Executive Offices,2
925120.0,Administration of Urban Planning and Community and Rural Development,2
926110.0,Administration of General Economic Programs,2
921130.0,Public Finance Activities,1
923110.0,Administration of Education Programs,1
923130.0,"Administration of Human Resource Programs (except Education, Public He",1
926120.0,Regulation and Administration of Transportation Programs,1
926150.0,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sect",1
928110.0,National Security,1
